College,email,Country
Mawlana Bhashani Science And Technology University,mbstu.ac.bd,Bangladesh
Metropolitan University,metrouni.edu.bd,Bangladesh
Military Institute of Science and Technology,mist.ac.bd,Bangladesh
North East University Bangladesh,neub.edu.bd,Bangladesh
North South University,northsouth.edu,Bangladesh
Noakhali University of Science and Technology,nstu.edu.bd,Bangladesh
Northern University Bangladesh,nub.ac.bd,Bangladesh
National University,nu.edu.bd,Bangladesh
Presidency University,presidency.edu.bd,Bangladesh
Patuakhali Science and Technology University,pstu.ac.bd,Bangladesh
People's University of Bangladesh,pub.ac.bd,Bangladesh
Premier University,puc.ac.bd,Bangladesh
Pabna University of Science and Technology,pust.ac.bd,Bangladesh
Queens University,queensuniversity.edu.bd,Bangladesh
University of Rajshahi,ru.ac.bd,Bangladesh
Rajshahi University of Engineering and Technology,ruet.ac.bd,Bangladesh
Sylhet Agricultural University,sau.ac.bd,Bangladesh
Sylhet Engineering College,sec.ac.bd,Bangladesh
Southeast University,seu.ac.bd,Bangladesh
Sylhet International University,siu.edu.bd,Bangladesh
Southern University Bangladesh,southern.edu.bd,Bangladesh
Stamford University,stamforduniversity.edu.bd,Bangladesh
Shahjalal University of Science and Technology,sust.edu,Bangladesh
"University of Asia Pacific, Dhanmondi",uap-bd.edu,Bangladesh
University of Information Technology & Sciences,uits.edu.bd,Bangladesh
United International University,uiu.ac.bd,Bangladesh
University of Liberal Arts,ulab.edu.bd,Bangladesh
University of Development Alternative,uoda.edu.bd,Bangladesh
University of Science & Technology Chittagong,ustc.ac.bd,Bangladesh
World University of Bangladesh,wub.edu,Bangladesh
"University of the West Indies, Cave Hill",uwichill.edu.bb,Barbados
Academy of the Ministry of Internal Affairs of the Republic of Belarus,academy.mia.by,Belarus
Belarussian State Agricultural Academy,baa.by,Belarus
Belarussian State Agrarian Technical University,batu.edu.by,Belarus
Belarussian State University of Transport,belsut.gomel.by,Belarus
Belarussian State Academy of Music,bgam.edu.by,Belarus
Belarussian National Technical University,bntu.by,Belarus
Brest State University,brsu.brest.by,Belarus
Belarusian-Russian University,bru.mogilev.by,Belarus
Belarussian State Economic University,bseu.by,Belarus
Belarussian State Medical University,bsmu.by,Belarus
Belarussian State Polytechnical Academy,bspa.unibel.by,Belarus
Belarussian State Pedagogical University M. Tanka,bspu.unibel.by,Belarus
Brest State Technical University,bstu.by,Belarus
Belarussian State Technological University,bstu.unibel.by,Belarus
Belarussian State University,bsu.by,Belarus
Belarussian State University of Informatics and Radioelectronics,bsuir.by,Belarus
Belarussian State University of Culture and Arts,buk.by,Belarus
European Humanities University,data.minsk.by,Belarus
Grodno State Medical University,grsmu.by,Belarus
Grodno State University Yanka Kupaly,grsu.by,Belarus
Gomel State Technical University Pavel Sukhoi,gstu.gomel.by,Belarus
Gomel State University Francisk Scarnia,gsu.unibel.by,Belarus
International Sakharov Environmental University,iseu.by,Belarus
Institute for Command Engineers of The Ministry for Emergency Situations,kii.gov.by,Belarus
Gomel State Medical University,meduniver.gomel.by,Belarus
Mozyr State Pedagogical Institute,mgpu.gomel.by,Belarus
Minsk Institute of Management,miu.by,Belarus
Minsk State Linguistic University,mslu.by,Belarus
Mogilev State University A.A. Kuleshov,msu.mogilev.by,Belarus
Academy of Public Administration of Belarus,pac.by,Belarus
Polotsk State University,psu.by,Belarus
Grodno State Agrarian University,uni-agro.grodno.by,Belarus
Vitebsk State Medical University,vgmu.vitebsk.by,Belarus
Vitebsk State Academy of Veterinary Medicine,vsavm.com,Belarus
Vitebsk State Technological University,vstu.vitebsk.by,Belarus
Vitebsk State University,vsu.by,Belarus
Brexgata University Academy,brexgata.eu,Belgium
European Carolus Magnus University,carolus-magnus-university.eu,Belgium
College of Europe,coleurope.eu,Belgium
Continental Theological Seminary,ctsem.edu,Belgium
ECAM - Institut Supérieur Industriel,ecam.be,Belgium
Erasmushogeschool Brussel,ehb.be,Belgium
EHSAL - Europese Hogeschool Brussel,ehsal.be,Belgium
"Evangelische Theologische Faculteit, Leuven",etf.edu,Belgium
European International University,europeaniu.org,Belgium
Faculté Polytechnique de Mons,fpms.ac.be,Belgium
Faculté Universitaire des Sciences Agronomiques de Gembloux,fsagx.ac.be,Belgium
